vel,flux,err
-1.107071e+03,-4.014970e-04,3.000000e-04
-1.100486e+03,-3.411929e-04,3.000000e-04
-1.093171e+03,4.047013e-04,3.000000e-04
-1.085855e+03,3.537991e-04,3.000000e-04
-1.079271e+03,1.723797e-04,3.000000e-04
-1.071955e+03,2.599786e-04,3.000000e-04
-1.065371e+03,2.259506e-04,3.000000e-04
-1.058056e+03,-3.734500e-04,3.000000e-04
-1.051472e+03,-7.548906e-05,3.000000e-04
-1.044156e+03,3.800591e-05,3.000000e-04
-1.037572e+03,3.767810e-04,3.000000e-04
-1.030256e+03,1.099070e-06,3.000000e-04
-1.023672e+03,7.105198e-04,3.000000e-04
-1.016357e+03,-3.348606e-06,3.000000e-04
-1.009772e+03,2.807041e-04,3.000000e-04
-1.002457e+03,9.837105e-05,3.000000e-04
-9.958727e+02,3.646379e-05,3.000000e-04
-9.885571e+02,-1.288643e-04,3.000000e-04
-9.812414e+02,2.708616e-04,3.000000e-04
-9.746573e+02,-3.434143e-04,3.000000e-04
-9.673417e+02,3.267237e-04,3.000000e-04
-9.607576e+02,5.042818e-04,3.000000e-04
-9.534420e+02,6.364276e-05,3.000000e-04
-9.468579e+02,1.337270e-04,3.000000e-04
-9.395422e+02,3.227597e-04,3.000000e-04
-9.329582e+02,-2.096312e-04,3.000000e-04
-9.256425e+02,3.148201e-04,3.000000e-04
-9.190584e+02,6.463881e-06,3.000000e-04
-9.117428e+02,-4.313430e-05,3.000000e-04
-9.051587e+02,-1.794618e-04,3.000000e-04
-8.978431e+02,-3.429242e-04,3.000000e-04
-8.905274e+02,-1.347184e-04,3.000000e-04
-8.839433e+02,6.908699e-05,3.000000e-04
-8.766277e+02,4.354169e-04,3.000000e-04
-8.700436e+02,-1.682229e-04,3.000000e-04
-8.627280e+02,2.714782e-04,3.000000e-04
-8.561439e+02,5.239513e-04,3.000000e-04
-8.488282e+02,6.698060e-04,3.000000e-04
-8.422441e+02,-8.522779e-05,3.000000e-04
-8.349285e+02,1.147301e-05,3.000000e-04
-8.283444e+02,-3.393935e-05,3.000000e-04
-8.210288e+02,1.210648e-04,3.000000e-04
-8.144447e+02,-2.640004e-04,3.000000e-04
-8.071290e+02,-4.404633e-05,3.000000e-04
-7.998134e+02,-2.880297e-04,3.000000e-04
-7.932293e+02,-1.245885e-04,3.000000e-04
-7.859137e+02,-2.387908e-04,3.000000e-04
-7.793296e+02,5.141805e-05,3.000000e-04
-7.720139e+02,-4.821183e-04,3.000000e-04
-7.654299e+02,-3.124391e-04,3.000000e-04
-7.581142e+02,-6.634929e-05,3.000000e-04
-7.515301e+02,2.034296e-04,3.000000e-04
-7.442145e+02,3.284983e-04,3.000000e-04
-7.376304e+02,1.270046e-04,3.000000e-04
-7.303148e+02,-7.315350e-04,3.000000e-04
-7.229991e+02,4.705150e-05,3.000000e-04
-7.164150e+02,-8.576478e-04,3.000000e-04
-7.090994e+02,-1.478373e-04,3.000000e-04
-7.025153e+02,1.740843e-05,3.000000e-04
-6.951997e+02,1.770572e-04,3.000000e-04
-6.886156e+02,-2.743015e-04,3.000000e-04
-6.812999e+02,1.554718e-04,3.000000e-04
-6.747159e+02,-2.994784e-04,3.000000e-04
-6.674002e+02,4.033452e-04,3.000000e-04
-6.608161e+02,-1.572087e-04,3.000000e-04
-6.535005e+02,-2.548132e-04,3.000000e-04
-6.461848e+02,9.953060e-05,3.000000e-04
-6.396008e+02,-1.271795e-04,3.000000e-04
-6.322851e+02,2.570015e-04,3.000000e-04
-6.257010e+02,-1.458784e-04,3.000000e-04
-6.183854e+02,-6.400796e-05,3.000000e-04
-6.118013e+02,1.398024e-04,3.000000e-04
