vel,flux,err
-6.747159e+02,-1.485070e-04,3.000000e-04
-6.674002e+02,3.060281e-04,3.000000e-04
-6.608161e+02,2.410987e-04,3.000000e-04
-6.535005e+02,-4.849625e-04,3.000000e-04
-6.461848e+02,2.975216e-04,3.000000e-04
-6.396008e+02,5.969154e-05,3.000000e-04
-6.322851e+02,-2.993348e-04,3.000000e-04
-6.257010e+02,-1.928266e-04,3.000000e-04
-6.183854e+02,-4.722905e-05,3.000000e-04
-6.118013e+02,-1.739750e-05,3.000000e-04
-6.044857e+02,4.950012e-05,3.000000e-04
-5.979016e+02,4.295390e-04,3.000000e-04
-5.905859e+02,1.684501e-05,3.000000e-04
-5.832703e+02,-1.537284e-04,3.000000e-04
-5.766862e+02,3.132087e-04,3.000000e-04
-5.693706e+02,3.224942e-04,3.000000e-04
-5.627865e+02,1.806906e-04,3.000000e-04
-5.554708e+02,-2.530079e-04,3.000000e-04
-5.488867e+02,-1.185648e-04,3.000000e-04
-5.415711e+02,-6.238902e-05,3.000000e-04
-5.349870e+02,-1.335410e-04,3.000000e-04
-5.276714e+02,-9.414641e-06,3.000000e-04
-5.210873e+02,-2.823176e-04,3.000000e-04
-5.137716e+02,-6.844595e-05,3.000000e-04
-5.064560e+02,-3.087535e-04,3.000000e-04
-4.998719e+02,8.160233e-05,3.000000e-04
-4.925563e+02,-3.940660e-04,3.000000e-04
-4.859722e+02,3.135341e-05,3.000000e-04
-4.786565e+02,-5.426540e-04,3.000000e-04
-4.720725e+02,3.766483e-04,3.000000e-04
-4.647568e+02,4.230156e-04,3.000000e-04
-4.581727e+02,-2.363282e-04,3.000000e-04
-4.508571e+02,-9.284057e-05,3.000000e-04
-4.435414e+02,-3.885405e-04,3.000000e-04
-4.369574e+02,-1.733397e-04,3.000000e-04
-4.296417e+02,-1.747055e-06,3.000000e-04
-4.230576e+02,4.449905e-04,3.000000e-04
-4.157420e+02,-6.635809e-05,3.000000e-04
-4.091579e+02,-7.374755e-05,3.000000e-04
-4.018423e+02,-1.164647e-04,3.000000e-04
-3.952582e+02,3.995795e-04,3.000000e-04
-3.879425e+02,1.011208e-05,3.000000e-04
-3.806269e+02,-3.974525e-04,3.000000e-04
-3.740428e+02,-3.809970e-04,3.000000e-04
-3.667272e+02,6.841067e-06,3.000000e-04
-3.601431e+02,3.476933e-04,3.000000e-04
-3.528274e+02,7.655332e-05,3.000000e-04
-3.462433e+02,2.352521e-04,3.000000e-04
-3.389277e+02,-1.374308e-04,3.000000e-04
-3.323436e+02,-1.299010e-04,3.000000e-04
-3.250280e+02,7.378746e-05,3.000000e-04
-3.177123e+02,3.270253e-05,3.000000e-04
-3.111282e+02,-1.218704e-04,3.000000e-04
-3.038126e+02,-2.538467e-05,3.000000e-04
-2.972285e+02,4.270297e-04,3.000000e-04
-2.899129e+02,4.521492e-04,3.000000e-04
-2.833288e+02,8.592588e-04,3.000000e-04
-2.760131e+02,2.854528e-04,3.000000e-04
-2.694291e+02,5.443112e-04,3.000000e-04
-2.621134e+02,1.012833e-03,3.000000e-04
-2.547978e+02,9.667691e-04,3.000000e-04
-2.482137e+02,6.997326e-04,3.000000e-04
-2.408980e+02,9.768074e-04,3.000000e-04
-2.343140e+02,1.617490e-03,3.000000e-04
-2.269983e+02,1.602492e-03,3.000000e-04
-2.204142e+02,2.210975e-03,3.000000e-04
-2.130986e+02,2.184859e-03,3.000000e-04
-2.057829e+02,2.753073e-03,3.000000e-04
-1.991989e+02,2.533774e-03,3.000000e-04
-1.918832e+02,2.875643e-03,3.000000e-04
-1.852991e+02,2.706704e-03,3.000000e-04
-1.779835e+02,2.997234e-03,3.000000e-04
-1.713994e+02,2.782848e-03,3.000000e-04
-1.640838e+02,2.879303e-03,3.000000e-04
-1.574997e+02,3.001537e-03,3.000000e-04
-1.501840e+02,2.836560e-03,3.000000e-04
-1.428684e+02,2.701661e-03,3.000000e-04
-1.362843e+02,2.617002e-03,3.000000e-04
-1.289687e+02,2.697974e-03,3.000000e-04
-1.223846e+02,2.564791e-03,3.000000e-04
-1.150689e+02,1.940236e-03,3.000000e-04
-1.084849e+02,1.670164e-03,3.000000e-04
-1.011692e+02,1.671366e-03,3.000000e-04
-9.385356e+01,1.927464e-03,3.000000e-04
-8.726948e+01,1.269031e-03,3.000000e-04
-7.995383e+01,1.588090e-03,3.000000e-04
-7.336975e+01,1.479817e-03,3.000000e-04
-6.605411e+01,9.796727e-04,3.000000e-04
-5.947002e+01,3.424288e-04,3.000000e-04
-5.215438e+01,1.182908e-04,3.000000e-04
-4.483873e+01,-3.008930e-04,3.000000e-04
-3.825465e+01,-2.328812e-04,3.000000e-04
-3.093900e+01,-7.049284e-04,3.000000e-04
-2.435492e+01,-5.040510e-04,3.000000e-04
-1.703928e+01,1.778557e-04,3.000000e-04
-1.045520e+01,1.979421e-04,3.000000e-04
-3.139550e+00,-2.914224e-04,3.000000e-04
3.444531e+00,-8.433497e-05,3.000000e-04
1.076018e+01,1.903435e-04,3.000000e-04
1.807582e+01,1.211216e-04,3.000000e-04
2.465990e+01,-6.350625e-05,3.000000e-04
3.197555e+01,8.526219e-04,3.000000e-04
3.855963e+01,7.652295e-04,3.000000e-04
4.587528e+01,1.524348e-03,3.000000e-04
5.245936e+01,9.811866e-04,3.000000e-04
5.977501e+01,1.321145e-03,3.000000e-04
6.709065e+01,1.956391e-03,3.000000e-04
7.367473e+01,1.762417e-03,3.000000e-04
8.099038e+01,2.470988e-03,3.000000e-04
8.757446e+01,2.530021e-03,3.000000e-04
